name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
La Taverna de Casino Barcelona,"nivel playa, Carrer de la Marina, 19, 08005 Barcelona, Spain",4.5,0,1,1,0,0,0,0,0,1,0,19.0,"nivel playa, Carrer de la Marina, 19, Barcelona",True,41.3866842,2.1962463,08005,Poblenou,Sant Marti
PORTÍ cafeteria & vermuteria,"Avinguda de Rio de Janeiro, 129, 08016 Barcelona, Spain",4.5,0,1,1,1,0,0,0,0,1,1,149.0,"Avinguda de Rio de Janeiro, 129, Barcelona",,41.44254,2.18497,08016,Porta-La Prosperitat,Nou Barris
Casa Lolo Cerveseria,"Av. de Josep Tarradellas, 11, 08029 Barcelona, Spain",3.5,0,1,1,1,0,1,1,0,1,1,13.0,"Avinguda de Josep Tarradellas, 11, Barcelona",,41.3818406,2.141917,08029,Sarria,Sarria - Sant Gervasi
Aishang Sushi - Bar,"Carr. de Collblanc, 102, B, 08028 Barcelona, Spain",4.6,1,0,1,1,0,1,1,0,1,1,132.0,"Carretera de Collblanc, 102, B, Barcelona",,41.37592859999999,2.114796699999999,08028,Les Corts,Les Corts
Kurai Restaurant Japonès,"C/ de Tarragona, 99, 08014 Barcelona, Spain",4.4,1,1,1,1,0,1,1,0,1,1,795.0,"Carrer de Tarragona, 99, Barcelona",True,41.375739,2.1483363,08014,La Bordeta - Les Corts,Sants - Montjuic
RESTAURANTE UMO,"Hotel Catalonia, Pl. d'Espanya, 6- 8, 08014 Barcelona, Spain",4.3,0,1,1,1,0,1,1,0,1,1,23.0,"Hotel Catalonia, Plaça d'Espanya, 6- 8, Barcelona",True,41.3757482,2.1482034,08014,La Bordeta - Les Corts,Sants - Montjuic
Restaurant Cabañeros,"Carrer del Vallespir, 17, 08014 Barcelona, Spain",4.1,0,1,0,1,0,1,1,0,1,0,1089.0,"Carrer del Vallespir, 17, Barcelona",True,41.37830870000001,2.137726,08014,La Bordeta - Les Corts,Sants - Montjuic
WIMPY'S,"C/ de n'Amargós, 3, 08002 Barcelona, Spain",4.8,0,0,0,1,1,0,1,1,0,1,35.0,"Carrer de n'Amargós, 3, Barcelona",True,41.3860363,2.1742011,08002,Barri Gotic,Ciutat Vella
La Gastronòmica,"Carrer de Calàbria, 118, 08015 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,0,646.0,"Carrer de Calàbria, 118, Barcelona",,41.3808125,2.1538558,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
Barcelona Marrakech,"C. de los Castillejos, 168, 08013 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,1,,"Carrer de los Castillejos, 168, Barcelona",True,41.4021711,2.1841687,08013,El Fort Pienc,Eixample
El Montana Cafè Restaurant,"C/ del Comerç, 4, 08003 Barcelona, Spain",4.5,1,1,1,1,1,0,1,1,1,1,193.0,"Carrer del Comerç, 4, Barcelona",True,41.3894477,2.1812278,08003,Barceloneta,Ciutat Vella
La Tagliatella,"C/ d'Ausiàs Marc, 7, 08010 Barcelona, Spain",4.1,1,1,1,1,0,1,1,0,1,1,1393.0,"Carrer d'Ausiàs Marc, 7, Barcelona",True,41.390199,2.173824999999999,08010,Dreta Eixample,Eixample
Restaurante NSR,"Carrer del Concili de Trento, 85, 08020 Barcelona, Spain",3.0,0,1,0,1,0,0,1,0,1,1,3.0,"Carrer del Concili de Trento, 85, Barcelona",,41.4142889,2.1957915,08020,La Verneda - Sant Marti de Provençals,Sant Marti
Z A Z A - CUINA I VI,"Carrer del Poeta Cabanyes, 43, 08004 Barcelona, Spain",4.8,0,1,1,1,0,1,1,1,1,1,167.0,"Carrer del Poeta Cabanyes, 43, Barcelona",True,41.3732991,2.1651968,08004,Poble Sec,Sants - Montjuic
Rofloma S.L.,"C/ d'Aribau, 229, 08021 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer d'Aribau, 229, Barcelona",,41.3966758,2.141604,08021,Les Corts - Sarria,Les Corts
Verd Oliva,"Carrer de la Sèquia Comtal, 15, 08018 Barcelona, Spain",4.3,0,1,1,1,0,0,0,0,1,1,158.0,"Carrer de la Sèquia Comtal, 15, Barcelona",True,41.4082434,2.1874297,08018,El Clot,Sant Marti
La Nova Farga,"C.d'Almeria, 31, 08014 Barcelona, Spain",4.8,0,1,1,1,1,1,1,0,1,1,307.0,"Carrer d'Almeria, 31, Barcelona",,41.37280229999999,2.1387138,08014,La Bordeta - Les Corts,Sants - Montjuic
La Pizzeria d'Arana,"Carrer de Sabino Arana, 38, 08028 Barcelona, Spain",4.5,1,1,0,1,0,1,1,0,1,1,122.0,"Carrer de Sabino Arana, 38, Barcelona",True,41.3861759,2.1248717,08028,Les Corts,Les Corts
Vivo Tapas,"C/ del Rosselló, 255, 08008 Barcelona, Spain",4.4,0,1,1,1,1,1,1,0,1,1,3849.0,"Carrer del Rosselló, 255, Barcelona",True,41.3951663,2.1596285,08008,Antiga Esquerra Eixample,Eixample
La Sofia Bar,"Carrer de Cortit, 2, 08027 Barcelona, Spain",4.9,0,1,1,1,1,1,1,1,1,1,176.0,"Carrer de Cortit, 2, Barcelona",True,41.42497760000001,2.1899211,08027,El Congres - Navas,Sant Andreu
Rajah Restaurant Karahi House,"C/ Nou de la Rambla, 3, 08001 Barcelona, Spain",3.7,1,1,0,1,1,1,1,0,0,1,351.0,"Carrer Nou de la Rambla, 3, Barcelona",,41.3791611,2.1744399,08001,El Raval,Ciutat Vella
El Rey de Istanbul,"C. de Ribes, 23, 08013 Barcelona, Spain",3.8,1,1,1,1,0,1,1,0,1,1,671.0,"Carrer de Ribes, 23, Barcelona",True,41.39465209999999,2.1815578,08013,El Fort Pienc,Eixample
Madame,"Carrer d'En Robador, 22, Bajo A, 08001 Barcelona, Spain",4.4,1,1,1,1,0,1,1,1,1,1,1083.0,"Carrer d'En Robador, 22, Bajo A, Barcelona",True,41.3794899,2.1706963,08001,El Raval,Ciutat Vella
El Caliu de Les Corts,"Carrer de Lluçà, 11, 13, 08028 Barcelona, Spain",4.5,0,1,0,0,0,1,1,1,1,1,885.0,"Carrer de Lluçà, 11, 13, Barcelona",,41.3814597,2.130780000000001,08028,Les Corts,Les Corts
Synera bar Granja,"C. de Floridablanca, 60, 08015 Barcelona, Spain",4.2,0,1,1,1,1,0,1,0,1,1,60.0,"Carrer de Floridablanca, 60, Barcelona",,41.37757179999999,2.1576213,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
